strain_id,n_o,n_d,c_o,c_d,c_w,c_d_raw,c_o_raw,n_t,n_r,c_r,c_t,i_w,c_t_raw,c_r_raw
X10A,38,39,0.1711,0.4103,-0.4186,16,6.5,1,13,0.7692,0,-0.2308,0,10
X21B,39,39,0.1667,0.4231,-0.4102,16.5,6.5,1,13,0.9231,0,-0.0769,0,12
X20A,39,39,0.0641,0.0897,-0.8462,3.5,2.5,1,13,0.6923,0,-0.3077,0,9
X17A,39,39,0.1667,0.3077,-0.5256,12,6.5,1,13,0.8462,0,-0.1538,0,11
X24A,39,31,0.2821,0.5,-0.2179,15.5,11,1,6,0.8333,0,-0.1667,0,5
X39C,39,39,0.1795,0.1923,-0.6282,7.5,7,1,13,0.9231,0,-0.0769,0,12
X14B,39,39,0.2949,0.5256,-0.1795,20.5,11.5,1,13,0.8462,0,-0.1538,0,11
X16A,39,39,0.3462,0.5385,-0.1153,21,13.5,1,13,0.4615,0,-0.5385,0,6
X46B,39,39,0.0385,0.1923,-0.7692,7.5,1.5,1,13,1,0,0,0,13
X19A,39,39,0.1923,0.641,-0.1667,25,7.5,1,13,0.3077,0,-0.6923,0,4
X06C,39,39,0.3077,0.5641,-0.1282,22,12,1,13,0.8462,0,-0.1538,0,11
X02A,39,39,0.4487,0.6026,0.0513,23.5,17.5,1,13,0.8462,0,-0.1538,0,11
X08A,39,39,0.3462,0.5385,-0.1153,21,13.5,1,13,0.7692,0,-0.2308,0,10
X4326,39,39,0.1923,0.0256,-0.7821,1,7.5,1,13,0.2308,0,-0.7692,0,3
X22D,39,39,0.3846,0.6154,0,24,15,1,13,0.3846,0,-0.6154,0,5
X07A,39,39,0.3718,0.6026,-0.0256,23.5,14.5,1,13,0.8462,0,-0.1538,0,11
X22B,39,39,0.2564,0.5,-0.2436,19.5,10,1,13,0.8462,0,-0.1538,0,11
X26B,39,39,0.4359,0.5641,0,22,17,1,13,0.3077,0,-0.6923,0,4
X39F,39,39,0.1923,0.0769,-0.7308,3,7.5,1,13,0.6154,0,-0.3846,0,8
X22C,39,39,0.2051,0.4744,-0.3205,18.5,8,1,13,0.7692,0,-0.2308,0,10
X08C,39,39,0.2308,0.1667,-0.6025,6.5,9,1,13,0.6154,0,-0.3846,0,8
X23A,39,39,0.1923,0.1154,-0.6923,4.5,7.5,1,13,0.5385,0,-0.4615,0,7
X24C,39,39,0.2308,0.2179,-0.5513,8.5,9,1,13,0.9231,0,-0.0769,0,12
X21A,39,39,0.2564,0.2692,-0.4744,10.5,10,1,13,0.9231,0,-0.0769,0,12
X20B,39,39,0.2051,0.359,-0.4359,14,8,1,13,1,0,0,0,13
X08B,39,39,0.6667,0.641,0.3077,25,26,1,13,0.6154,0,-0.3846,0,8
X36A,38,39,0.7237,0.6795,0.4032,26.5,27.5,1,12,0.9167,0,-0.0833,0,11
X07B,38,39,0.6447,0.6538,0.2985,25.5,24.5,39,12,0.9167,0.0256,-0.0577,1,11
X06B,39,39,0.6667,0.7051,0.3718,27.5,26,38,12,0.9167,0.1053,0.022,4,11
X43A,39,39,0.859,0.8333,0.6923,32.5,33.5,38,12,1,0.0263,0.0263,1,12
X29A,38,39,0.8553,0.9103,0.7656,35.5,32.5,39,12,1,0.3333,0.3333,13,12
X39A,39,39,0.9359,0.8205,0.7564,32,36.5,38,12,1,0.3421,0.3421,13,12
X34A,39,39,0.859,1,0.859,39,33.5,39,12,1,0.1282,0.1282,5,12
X36B,38,39,0.8816,0.8718,0.7534,34,33.5,39,12,1,0.2308,0.2308,9,12
X13A,38,39,0.8816,0.8846,0.7662,34.5,33.5,38,12,1,0.2632,0.2632,10,12
X27A,39,39,0.8974,0.9872,0.8846,38.5,35,39,12,1,0.5641,0.5641,22,12
X33E,38,39,0.8816,0.8718,0.7534,34,33.5,38,12,1,0.2632,0.2632,10,12
X03A,39,39,0.7821,0.859,0.6411,33.5,30.5,38,13,1,0.2105,0.2105,8,13
X06A,39,39,0.859,0.8846,0.7436,34.5,33.5,39,12,1,0.0256,0.0256,1,12
X46A,38,39,0.6842,0.6923,0.3765,27,26,38,12,0.8333,0.0526,-0.1141,2,10
