strain_id,mu_mm,lambda_mm,A_mm,int_mm
10A,0.000172931,1607.800373,0.547832629,872.2442195
21B,0.000320001,1509.445225,0.588491352,929.1889021
20A,0.000315637,2077.958501,0.578328529,699.7289462
17A,0.000252016,2488.49956,0.278534069,211.1330604
24A,0.000520664,1550.643778,0.707814893,893.065416
39C,0.000200849,1844.675371,0.710799649,776.4786378
14B,0.000219332,1916.891259,0.577039068,791.7764052
16A,0.000251497,2005.821272,0.554129198,702.4772955
46B,0.000245881,1193.355757,0.342011231,719.8182598
19A,0.000593706,470.5177099,0.369849259,898.2888102
06C,0.000440247,2478.167608,0.443563351,963.3304598
02A,0.000520278,1489.137994,0.436308525,1048.843727
08A,0.000483002,652.8910261,0.430825342,956.1011929
4326,6.74E-05,1073.323601,0.14733202,298.8391667
22D,0.000341288,1197.52226,0.358231899,696.7498064
07A,0.000482906,916.860824,0.390560929,806.4953769
22B,0.000473307,1127.701747,0.412949774,793.6491714
26B,0.000534421,1004.368276,0.473217895,984.6538596
39F,5.69E-05,603.3848056,0.034603113,53.987505
22C,NA,NA,NA,NA
08C,0.000320697,2716.58373,0.314331449,220.6335334
23A,2.54E-05,664.1503,0.028508313,65.23014015
24C,0.000137125,2459.606646,0.445668708,452.6402046
21A,0.000280918,2136.353693,0.39513436,598.2106141
20B,0.000262415,1433.31654,0.407807501,665.6416716
08B,0.001086358,2127.43635,0.651026677,1358.922723
36A,0.000613143,914.9788986,0.483883614,976.0035991
07B,0.000609212,1126.921607,0.448654423,812.0992887
06B,0.000754405,1022.307608,0.548965722,1096.206942
43A,0.000480536,584.499722,0.481242127,943.8078781
29A,0.000635281,706.4226,0.565155154,1145.605263
39A,0.000709952,566.4264755,0.505784432,1131.155285
34A,0.000568199,609.6013448,0.386458348,846.8403565
36B,0.000419392,470.8887764,0.508709788,1021.004757
13A,0.000407306,467.4098999,0.499396288,993.1338096
27A,0.000408782,446.0996307,0.514559855,1074.065609
33E,0.000438218,523.1642125,0.548295294,1076.37608
03A,0.000505342,585.0355573,0.52744698,1082.233733
06A,0.000505731,565.675486,0.538859636,1115.372802
46A,0.000913067,820.3435069,0.357628422,799.4574427
